завулак Пермскі, 98, Гродна, Беларусь, 230000
завулак Амбулаторны, 180, Ашмяны, Беларусь, 231103
завулак Севастопальскі, 67, Баранавічы, Беларусь, 225320
вуліца Карла Лібкнехта, 139, Барысаў, Беларусь, 222120
вуліца Калектарная, 41, Орша, Беларусь, 211030
Даўгінаўскі тракт, 125, Вілейка, Беларусь, 222410
праезд Сенніцкі, 191, Ашмяны, Беларусь, 231103
завулак Талінскі, 50, Слонім, Беларусь, 231800
вуліца Васільковая, 88, Слонім, Беларусь, 231800
завулак Землямерны, 94, Баранавічы, Беларусь, 225320
вуліца Мірашнічэнкі, 149, Гродна, Беларусь, 230000
вуліца Вінаградная, 176, Вітебск, Беларусь, 210000
тупік Зарэчны, 80, Ліда, Беларусь, 231300
вуліца Вызвалення, 157, Барысаў, Беларусь, 222120
вуліца Дукорская, 142, Полацк, Беларусь, 211291
вуліца Ваўпшасава, 192, Брэст, Беларусь, 224000
вуліца Нахіленая, 51, Слонім, Беларусь, 231800
вуліца Пуліхава, 186, Гомель, Беларусь, 240000
вуліца Княгінінская, 32, Фаніпаль, Беларусь, 222750
вуліца Солтыса, 63, Орша, Беларусь, 211030
вуліца Паўлюка Труса, 75, Слонім, Беларусь, 231800
вуліца Амельянюка, 194, Орша, Беларусь, 211030
вуліца Падгорная, 127, Магілёў, Беларусь, 212000
завулак Ламаносава, 43, Бабруйск, Беларусь, 213801
вуліца Шпалерная, 80, Фаніпаль, Беларусь, 222750
плошча Калініна, 142, Магілёў, Беларусь, 212000
праезд Клубны, 35, Барысаў, Беларусь, 222120
вуліца Заснавальнікаў, 116, Ліда, Беларусь, 231300
вуліца Малафееўская, 195, Полацк, Беларусь, 211291
праезд Чайкоўскага, 29, Ліда, Беларусь, 231300
праспект Ракасоўскага, 188, Жодзіна, Беларусь, 222160
вуліца Васняцова, 87, Стаубцы, Беларусь, 222660
вуліца Ляўкова, 178, Ліда, Беларусь, 231300
плошча Свабоды, 114, Гродна, Беларусь, 230000
вуліца Клары Цэткін, 33, Дзяржынск, Беларусь, 222720
вуліца Шчарбакова, 163, Мінск, Беларусь, 220000
вуліца Смалячкова, 37, Гомель, Беларусь, 240000
завулак Дастаеўскага, 194, Мінск, Беларусь, 220000
завулак Ермака, 42, Магілёў, Беларусь, 212000
вуліца Шасэйная, 115, Вітебск, Беларусь, 210000
праезд Падшыпнікавы, 34, Орша, Беларусь, 211030
вуліца Залатая, 193, Брэст, Беларусь, 224000
праезд Дачны, 170, Брэст, Беларусь, 224000
вуліца Беларуская, 198, Полацк, Беларусь, 211291
вуліца Кобрынская, 170, Полацк, Беларусь, 211291
вуліца Мяснікова, 113, Гомель, Беларусь, 240000
вуліца Веры Харужай, 60, Ліда, Беларусь, 231300
вуліца Ракаўская, 192, Дзяржынск, Беларусь, 222720
завулак Малочны, 183, Жодзіна, Беларусь, 222160
вуліца Залатая, 187, Полацк, Беларусь, 211291
вуліца Кальварыйская, 50, Брэст, Беларусь, 224000
завулак Кахоўскі, 124, Ліда, Беларусь, 231300
вуліца Чарвякова, 42, Мінск, Беларусь, 220000
вуліца Генерала Антонава, 17, Ашмяны, Беларусь, 231103
вуліца Рылеева, 81, Барысаў, Беларусь, 222120
завулак Землямерны, 197, Дзяржынск, Беларусь, 222720
завулак Наватарскі, 38, Стаубцы, Беларусь, 222660
вуліца Адэская, 175, Дзяржынск, Беларусь, 222720
праспект Незалежнасці, 115, Гродна, Беларусь, 230000
вуліца Перадавая, 130, Магілёў, Беларусь, 212000
вуліца Ельніцкая, 74, Ліда, Беларусь, 231300
вуліца Заводская, 180, Мінск, Беларусь, 220000
вуліца Абрыкосавая, 66, Бабруйск, Беларусь, 213801
завулак Амурскі, 136, Ашмяны, Беларусь, 231103
завулак Палзунова, 51, Мазыр, Беларусь, 247760
вуліца Астрашыцкая, 119, Магілёў, Беларусь, 212000
вуліца Пугачоўская, 170, Мазыр, Беларусь, 247760
завулак Лінейны, 161, Мінск, Беларусь, 220000
вуліца Уладзіслава Сыракомлі, 59, Мазыр, Беларусь, 247760
вуліца Маргелава, 33, Бабруйск, Беларусь, 213801
вуліца Заходняя, 53, Жодзіна, Беларусь, 222160
завулак Агатавы, 73, Вілейка, Беларусь, 222410
завулак Зарачанскі, 83, Полацк, Беларусь, 211291
вуліца Герояў 120 Дывізіі, 131, Дзяржынск, Беларусь, 222720
вуліца Баляслава Берута, 163, Стаубцы, Беларусь, 222660
вуліца Уладзіслава Сыракомлі, 24, Мазыр, Беларусь, 247760
вуліца Дразда, 46, Полацк, Беларусь, 211291
завулак Бумажкова, 40, Вітебск, Беларусь, 210000
завулак Сцяпянскі, 24, Фаніпаль, Беларусь, 222750
вуліца Стэфанаўская, 89, Ліда, Беларусь, 231300
вуліца Васняцова, 136, Вітебск, Беларусь, 210000
вуліца Веры Харужай, 99, Гродна, Беларусь, 230000
завулак Тэлеграфны, 78, Баранавічы, Беларусь, 225320
вуліца Садовая, 16, Мазыр, Беларусь, 247760
вуліца Кнорына, 117, Ашмяны, Беларусь, 231103
вуліца Лазо, 137, Барысаў, Беларусь, 222120
вуліца Убарэвіча, 141, Гомель, Беларусь, 240000
праезд Клецкі, 85, Дзяржынск, Беларусь, 222720
вуліца Веснінка, 178, Ашмяны, Беларусь, 231103
вуліца Голубева, 52, Ліда, Беларусь, 231300
вуліца Ельніцкая, 23, Фаніпаль, Беларусь, 222750
вуліца Фучыка, 149, Бабруйск, Беларусь, 213801
вуліца Лабанка, 10, Ашмяны, Беларусь, 231103
праезд Каралінскі, 177, Дзяржынск, Беларусь, 222720
вуліца Прагрэсіўная, 172, Полацк, Беларусь, 211291
завулак Мацвееўскі, 11, Бабруйск, Беларусь, 213801
вуліца Валожынская, 12, Мазыр, Беларусь, 247760
вуліца Зацішша, 164, Фаніпаль, Беларусь, 222750
вуліца Яркоўская, 117, Слонім, Беларусь, 231800
вуліца Слуцкай, 45, Вілейка, Беларусь, 222410
завулак Кабушкіна, 129, Жодзіна, Беларусь, 222160
вуліца Сцяпянская, 11, Ліда, Беларусь, 231300
Смілавіцкі тракт, 126, Мінск, Беларусь, 220000
вуліца Панфілава, 116, Вілейка, Беларусь, 222410
вуліца Суворава, 25, Гродна, Беларусь, 230000
вуліца Праграмістаў, 182, Баранавічы, Беларусь, 225320
вуліца Маласерабранская, 135, Вілейка, Беларусь, 222410
вуліца Шышкіна, 172, Фаніпаль, Беларусь, 222750
вуліца Нахімава, 142, Ашмяны, Беларусь, 231103
вуліца Альшэўскага, 81, Полацк, Беларусь, 211291
вуліца Герцэна, 191, Полацк, Беларусь, 211291
вуліца Бабруйская, 141, Гомель, Беларусь, 240000
вуліца Русановіча, 110, Гомель, Беларусь, 240000
вуліца Зацішша, 111, Бабруйск, Беларусь, 213801
вуліца Гусоўскага, 137, Ашмяны, Беларусь, 231103
завулак Самарскі, 134, Ліда, Беларусь, 231300
вуліца Дамброўская, 97, Полацк, Беларусь, 211291
завулак Ціхі, 58, Фаніпаль, Беларусь, 222750
завулак Кузьмы Мініна, 172, Брэст, Беларусь, 224000
завулак Ушакова, 196, Фаніпаль, Беларусь, 222750
вуліца Веры Харужай, 61, Гомель, Беларусь, 240000
вуліца Авіяцыі, 183, Ліда, Беларусь, 231300
вуліца Папярнянская, 67, Слонім, Беларусь, 231800
вуліца Палявая, 124, Слонім, Беларусь, 231800
вуліца Палтаўская, 173, Слонім, Беларусь, 231800
вуліца Собінава, 53, Жодзіна, Беларусь, 222160
вуліца Дзекабрыстаў, 197, Брэст, Беларусь, 224000
вуліца Мічурына, 94, Гомель, Беларусь, 240000
вуліца Вірская, 140, Гродна, Беларусь, 230000
вуліца Гарадскі Вал, 158, Барысаў, Беларусь, 222120
вуліца Карла Маркса, 120, Полацк, Беларусь, 211291
вуліца Бельскага, 91, Мазыр, Беларусь, 247760
вуліца Тапаграфічная, 72, Бабруйск, Беларусь, 213801
завулак Томскі, 32, Ліда, Беларусь, 231300
завулак Максіма Багдановіча, 122, Барысаў, Беларусь, 222120
вуліца Бараноўшчына, 127, Слонім, Беларусь, 231800
вуліца Мяржынскага, 83, Ашмяны, Беларусь, 231103
праезд Рагачоўскі, 39, Дзяржынск, Беларусь, 222720
вуліца Нахімава, 79, Жодзіна, Беларусь, 222160
вуліца Валожынская, 151, Стаубцы, Беларусь, 222660
вуліца Дняпроўская, 98, Баранавічы, Беларусь, 225320
вуліца Сядых, 136, Ліда, Беларусь, 231300
вуліца Вакзальная, 193, Бабруйск, Беларусь, 213801
завулак Янтарны, 141, Магілёў, Беларусь, 212000
вуліца Утульная, 61, Дзяржынск, Беларусь, 222720
вуліца Велазаводская, 47, Бабруйск, Беларусь, 213801
праспект Любімава, 194, Орша, Беларусь, 211030
вуліца Замкавая, 177, Ліда, Беларусь, 231300
завулак Станцыйны, 10, Полацк, Беларусь, 211291
вуліца Русіянава, 81, Стаубцы, Беларусь, 222660
вуліца Караленкі, 26, Гродна, Беларусь, 230000
вуліца Зарэчная, 92, Гомель, Беларусь, 240000
вуліца Наўгародская, 68, Вітебск, Беларусь, 210000
вуліца Дзекабрыстаў, 58, Орша, Беларусь, 211030
вуліца Мядзвежына, 116, Мазыр, Беларусь, 247760
вуліца Шабаны, 29, Орша, Беларусь, 211030
праспект Пераможцаў, 58, Брэст, Беларусь, 224000
вуліца Леаніда Бяды, 120, Гродна, Беларусь, 230000
вуліца Тарханава, 75, Барысаў, Беларусь, 222120
праезд Аршанскі, 71, Бабруйск, Беларусь, 213801
вуліца Кірэенкі, 129, Слонім, Беларусь, 231800
завулак Масюкоўшчына, 143, Стаубцы, Беларусь, 222660
завулак Калектыўны, 33, Фаніпаль, Беларусь, 222750
завулак Землямерны, 111, Гродна, Беларусь, 230000
вуліца Францыска Скарыны, 92, Брэст, Беларусь, 224000
плошча Калініна, 31, Мазыр, Беларусь, 247760
вуліца Уладзіслава Галубка, 118, Брэст, Беларусь, 224000
вуліца Масюкоўшчына, 49, Слонім, Беларусь, 231800
вуліца Стэфанаўская, 80, Полацк, Беларусь, 211291
завулак Рабочы, 144, Вілейка, Беларусь, 222410
плошча Калініна, 185, Дзяржынск, Беларусь, 222720
вуліца Фабрычная, 181, Полацк, Беларусь, 211291
вуліца Школьная, 70, Барысаў, Беларусь, 222120
вуліца Асвейская, 78, Баранавічы, Беларусь, 225320
вуліца Карла Маркса, 157, Мазыр, Беларусь, 247760
праезд Енісейскі, 178, Баранавічы, Беларусь, 225320
вуліца Заходняя, 180, Магілёў, Беларусь, 212000
вуліца Шчукіна, 15, Полацк, Беларусь, 211291
вуліца Халмагорская, 67, Магілёў, Беларусь, 212000
вуліца Мантажнікаў, 118, Орша, Беларусь, 211030
завулак Станцыйны, 125, Магілёў, Беларусь, 212000
завулак Балотнікава, 189, Брэст, Беларусь, 224000
вуліца Браслаўская, 145, Мазыр, Беларусь, 247760
вуліца Кірэенкі, 31, Дзяржынск, Беларусь, 222720
вуліца Валожынская, 68, Ашмяны, Беларусь, 231103
вуліца Акадэміка Купрэвіча, 113, Вітебск, Беларусь, 210000
вуліца Азізава, 127, Мазыр, Беларусь, 247760
вуліца Веры Харужай, 143, Орша, Беларусь, 211030
вуліца Яблыневая, 83, Ліда, Беларусь, 231300
тупік Капыльскі, 190, Бабруйск, Беларусь, 213801
вуліца Шаранговіча, 85, Фаніпаль, Беларусь, 222750
завулак Кэчаўскі, 183, Гродна, Беларусь, 230000
вуліца Чарняхоўскага, 83, Орша, Беларусь, 211030
вуліца Янкі Брыля, 183, Гродна, Беларусь, 230000
завулак Станцыйны, 148, Ашмяны, Беларусь, 231103
вуліца Розы Люксембург, 194, Барысаў, Беларусь, 222120
завулак Праязны, 172, Баранавічы, Беларусь, 225320
вуліца Паўлоўскага, 150, Дзяржынск, Беларусь, 222720
праезд Універсітэцкі, 69, Жодзіна, Беларусь, 222160
вуліца Пірагова, 80, Магілёў, Беларусь, 212000
вуліца Верхняя, 35, Фаніпаль, Беларусь, 222750
вуліца Будслаўская, 61, Брэст, Беларусь, 224000
вуліца Беларуская, 140, Жодзіна, Беларусь, 222160
вуліца Пінская, 177, Вітебск, Беларусь, 210000
вуліца Альховая, 10, Барысаў, Беларусь, 222120
вуліца Мазырская, 120, Гомель, Беларусь, 240000
вуліца Ежы Гедройца, 19, Баранавічы, Беларусь, 225320
вуліца Карзюкі, 176, Стаубцы, Беларусь, 222660
завулак Лошыцкі, 151, Магілёў, Беларусь, 212000
вуліца Пензенская, 14, Баранавічы, Беларусь, 225320
вуліца Несцерава, 79, Бабруйск, Беларусь, 213801
вуліца Мядзвежына, 136, Мінск, Беларусь, 220000
вуліца Шчэпкіна, 33, Дзяржынск, Беларусь, 222720
вуліца Уманская, 193, Жодзіна, Беларусь, 222160
завулак Паравозны, 51, Мінск, Беларусь, 220000
вуліца Дзісенская, 44, Ліда, Беларусь, 231300
вуліца Сасновы Бор, 89, Слонім, Беларусь, 231800
завулак Дубаўлянскі, 143, Бабруйск, Беларусь, 213801
вуліца Аршанская, 133, Бабруйск, Беларусь, 213801
вуліца Акадэміка Купрэвіча, 32, Мазыр, Беларусь, 247760
вуліца Ляшчынскага, 44, Стаубцы, Беларусь, 222660
вуліца Малініна, 139, Гомель, Беларусь, 240000
вуліца Чычурына, 188, Ліда, Беларусь, 231300
вуліца Глаголева, 53, Ліда, Беларусь, 231300
вуліца Гвардзейская, 164, Бабруйск, Беларусь, 213801
завулак Шпалерны, 179, Слонім, Беларусь, 231800
вуліца Дача, 197, Ашмяны, Беларусь, 231103
вуліца Русіянава, 115, Бабруйск, Беларусь, 213801
праезд Энергетычны, 136, Бабруйск, Беларусь, 213801
вуліца Агарова, 68, Мінск, Беларусь, 220000
вуліца Гродзенская, 151, Мінск, Беларусь, 220000
вуліца Лесапаркавая, 82, Орша, Беларусь, 211030
вуліца Акрэсціна, 28, Мінск, Беларусь, 220000
вуліца Пухавіцкая, 28, Мазыр, Беларусь, 247760
вуліца Грыбаедава, 167, Вілейка, Беларусь, 222410
вуліца Рамашкіна, 181, Магілёў, Беларусь, 212000
завулак Бехцерава, 34, Бабруйск, Беларусь, 213801
вуліца Прытыцкага, 97, Мазыр, Беларусь, 247760
завулак Баравецкі, 126, Гродна, Беларусь, 230000
вуліца Сядова, 193, Вілейка, Беларусь, 222410
завулак Пуцейскі, 181, Вітебск, Беларусь, 210000
вуліца Розы Люксембург, 159, Мазыр, Беларусь, 247760
завулак Амурскі, 51, Ліда, Беларусь, 231300
Старатраецкая плошча, 131, Фаніпаль, Беларусь, 222750
вуліца Агарова, 180, Слонім, Беларусь, 231800
вуліца Садовая, 14, Гродна, Беларусь, 230000
вуліца Маладзечанская, 119, Ашмяны, Беларусь, 231103
завулак Таварыскі, 69, Гродна, Беларусь, 230000
завулак Акадэміка Вышалескага, 88, Гомель, Беларусь, 240000
вуліца Ульянаўская, 12, Гомель, Беларусь, 240000
вуліца Зацань, 116, Брэст, Беларусь, 224000
вуліца Купрыянава, 172, Баранавічы, Беларусь, 225320
вуліца Глыбоцкая, 89, Мазыр, Беларусь, 247760
вуліца Карыцкага, 60, Брэст, Беларусь, 224000
вуліца Фогеля, 175, Ашмяны, Беларусь, 231103
вуліца Уфімская, 198, Брэст, Беларусь, 224000
вуліца Аранжарэйная, 87, Гомель, Беларусь, 240000
вуліца Юбілейная, 164, Гродна, Беларусь, 230000
вуліца Кавальская, 197, Барысаў, Беларусь, 222120
вуліца Максіма Танка, 127, Барысаў, Беларусь, 222120
плошча Прывакзальная, 117, Брэст, Беларусь, 224000
вуліца Асіповіцкая, 34, Стаубцы, Беларусь, 222660
вуліца Сталетава, 12, Жодзіна, Беларусь, 222160
вуліца Пірагова, 115, Вілейка, Беларусь, 222410
вуліца Заснавальнікаў, 195, Брэст, Беларусь, 224000
вуліца Шугаева, 16, Слонім, Беларусь, 231800
вуліца Данілы Сердзіча, 194, Гомель, Беларусь, 240000
вуліца Маргелава, 131, Мазыр, Беларусь, 247760
вуліца Чыгуначная, 13, Стаубцы, Беларусь, 222660
вуліца Убарэвіча, 82, Бабруйск, Беларусь, 213801
вуліца Гурскага, 154, Бабруйск, Беларусь, 213801
вуліца Рабінніцкая, 189, Гродна, Беларусь, 230000
завулак Баторынскі, 43, Барысаў, Беларусь, 222120
завулак Школьны, 159, Ашмяны, Беларусь, 231103
вуліца Гусоўскага, 199, Вітебск, Беларусь, 210000
завулак Цяплічны, 166, Стаубцы, Беларусь, 222660
завулак Таварыскі, 148, Вілейка, Беларусь, 222410
завулак Бранявы, 158, Гомель, Беларусь, 240000
вуліца Фабрыцыуса, 32, Мінск, Беларусь, 220000
вуліца Лугавая, 26, Бабруйск, Беларусь, 213801
вуліца Верасовая, 163, Магілёў, Беларусь, 212000
вуліца Аршанская, 96, Вілейка, Беларусь, 222410
вуліца Будслаўская, 177, Гродна, Беларусь, 230000
вуліца Лепельская, 182, Вітебск, Беларусь, 210000
вуліца Чырвонаармейская, 66, Бабруйск, Беларусь, 213801
вуліца Станіслаўскага, 41, Дзяржынск, Беларусь, 222720
вуліца Собінава, 78, Вітебск, Беларусь, 210000
вуліца Алейная, 75, Гродна, Беларусь, 230000
вуліца Фабрычная, 83, Мінск, Беларусь, 220000
вуліца Мацвееўская, 55, Вітебск, Беларусь, 210000
завулак Дастаеўскага, 117, Стаубцы, Беларусь, 222660
завулак Казарменны, 38, Гомель, Беларусь, 240000
вуліца Русіянава, 143, Вілейка, Беларусь, 222410
вуліца Янкоўскага, 15, Ліда, Беларусь, 231300
вуліца Лучайская, 72, Вілейка, Беларусь, 222410
завулак Сталетава, 134, Дзяржынск, Беларусь, 222720
вуліца Агародніцкая, 61, Брэст, Беларусь, 224000
вуліца Нававіленская, 114, Дзяржынск, Беларусь, 222720
вуліца Стасава, 194, Вілейка, Беларусь, 222410
завулак Сонечны, 14, Ліда, Беларусь, 231300
вуліца Асіпенка, 64, Бабруйск, Беларусь, 213801
вуліца Суражская, 77, Ашмяны, Беларусь, 231103
завулак Пакроўскі, 16, Вітебск, Беларусь, 210000
завулак Чырваназоркавы, 199, Вілейка, Беларусь, 222410
завулак Баравецкі, 27, Вітебск, Беларусь, 210000
вуліца Мікуліча, 162, Дзяржынск, Беларусь, 222720
вуліца Жлобінская, 118, Слонім, Беларусь, 231800
завулак Табольскі, 13, Вітебск, Беларусь, 210000
завулак Спартыўны, 175, Слонім, Беларусь, 231800
вуліца Макаранкі, 29, Орша, Беларусь, 211030
завулак Серабранскі, 94, Дзяржынск, Беларусь, 222720
вуліца Яўгена Глебава, 186, Брэст, Беларусь, 224000
